Name,Path,Size_MB,Date_Modified,File_Type,Folder
"3. Pismo ZUS.rtf","05_Downloads/Pobrane/3. Pismo ZUS.rtf",0,"2020-04-13 23:30","rtf","05_Downloads/Pobrane"
"1. Zakwestionowanie decyzji ZUS _ Andrzej Żak.rtf","05_Downloads/Pobrane/1. Zakwestionowanie decyzji ZUS _ Andrzej Żak.rtf",.03,"2020-06-11 09:32","rtf","05_Downloads/Pobrane"
"Untitled spreadsheet (6).gsheet","05_Downloads/Pobrane/Untitled spreadsheet (6).gsheet",0,"2019-04-19 21:12","gsheet","05_Downloads/Pobrane"
"twittervid.com_Ronald_vanLoon_384fa6.mp4","05_Downloads/Pobrane/twittervid.com_Ronald_vanLoon_384fa6.mp4",5.95,"2023-12-04 12:29","mp4","05_Downloads/Pobrane"
"Projekt _ Dynastia i społeczeństwo państwa Piastów w świetle zintegrowanych badań historycznych antropologicznych i genomicznych.docx","05_Downloads/Pobrane/Projekt _ Dynastia i społeczeństwo państwa Piastów w świetle zintegrowanych badań historycznych antropologicznych i genomicznych.docx",.01,"2024-03-26 15:52","docx","05_Downloads/Pobrane"
"Document Management System - give me example of providers and price models.gsheet","05_Downloads/Pobrane/Document Management System - give me example of providers and price models.gsheet",0,"2023-10-04 15:08","gsheet","05_Downloads/Pobrane"
"twoj_bilet_WKL7JG6.pdf","05_Downloads/Pobrane/twoj_bilet_WKL7JG6.pdf",.09,"2022-11-24 07:20","pdf","05_Downloads/Pobrane"
"2. Pismo OPE.docx","05_Downloads/Pobrane/2. Pismo OPE.docx",0,"2020-04-13 21:30","docx","05_Downloads/Pobrane"
"Decyzja Dyrektora NCN - 3 ZRP 2024 wraz z potwierdzeniem podpisu.pdf","05_Downloads/Pobrane/Piastowie _ Decyzja/Decyzja Dyrektora NCN - 3 ZRP 2024 wraz z potwierdzeniem podpisu.pdf",.22,"2024-03-21 09:28","pdf","05_Downloads/Pobrane/Piastowie _ Decyzja"
"twoj_bilet_WKL4TFZ.pdf","05_Downloads/Pobrane/twoj_bilet_WKL4TFZ.pdf",.09,"2022-11-24 07:20","pdf","05_Downloads/Pobrane"
"BIO_doktorat_Wąsowicz_streszczenie_jęz. polski.pdf","05_Downloads/Pobrane/BIO_doktorat_Wąsowicz_streszczenie_jęz. polski.pdf",.24,"2024-10-03 20:18","pdf","05_Downloads/Pobrane"
"Decyzja Dyrektora NCN - 3 ZRP 2024.pdf","05_Downloads/Pobrane/Decyzja Dyrektora NCN - 3 ZRP 2024.pdf",.16,"2024-03-20 15:46","pdf","05_Downloads/Pobrane"
"Matches Andy.csv","05_Downloads/Pobrane/GedMatch/Matches Andy.csv",.04,"2021-11-01 13:55","csv","05_Downloads/Pobrane/GedMatch"
"Untitled Diagram (9).drawio","05_Downloads/Pobrane/Untitled Diagram (9).drawio",0,"2023-07-01 15:53","drawio","05_Downloads/Pobrane"
"Panda (1).txt.gdoc","05_Downloads/Pobrane/Panda (1).txt.gdoc",0,"2017-11-07 11:20","gdoc","05_Downloads/Pobrane"
"MyHeritage_raw_dna_data.csv","05_Downloads/Pobrane/MyHeritage_raw_dna_data.csv",19.39,"2020-06-06 19:16","csv","05_Downloads/Pobrane"
"Andrzej Zak _ Komornik Gozdur.jpg","05_Downloads/Pobrane/Andrzej Zak _ Komornik Gozdur.jpg",.24,"2020-04-12 00:41","jpg","05_Downloads/Pobrane"
"Nawa 2.pdf","05_Downloads/Pobrane/Nawa 2.pdf",13.60,"2024-04-03 13:36","pdf","05_Downloads/Pobrane"
"Wspaniały pomysł.gslides","05_Downloads/Pobrane/Wspaniały pomysł.gslides",0,"2023-06-10 13:02","gslides","05_Downloads/Pobrane"
"Etyka Audio _ 1-20.gdoc","05_Downloads/Pobrane/Etyka Audio _ 1-20.gdoc",0,"2018-07-20 19:13","gdoc","05_Downloads/Pobrane"
"screencapture-arslege-pl-podglad-odpowiedzi-testu-2024-01-07-12_20_29 (1).png","05_Downloads/Pobrane/screencapture-arslege-pl-podglad-odpowiedzi-testu-2024-01-07-12_20_29 (1).png",2.42,"2024-01-07 12:38","png","05_Downloads/Pobrane"
"twittervid.com_Ronald_vanLoon_384fa6.mp4","05_Downloads/Pobrane/Twitter/twittervid.com_Ronald_vanLoon_384fa6.mp4",5.95,"2023-12-04 08:14","mp4","05_Downloads/Pobrane/Twitter"
"ssstwitter.com_1701673431331.mp4","05_Downloads/Pobrane/Twitter/ssstwitter.com_1701673431331.mp4",3.54,"2023-12-04 08:07","mp4","05_Downloads/Pobrane/Twitter"
"twittervid.com_FrRonconi_25b5c1.mp4","05_Downloads/Pobrane/Twitter/twittervid.com_FrRonconi_25b5c1.mp4",3.54,"2023-12-04 08:10","mp4","05_Downloads/Pobrane/Twitter"
"Untitled Diagram (14).drawio","05_Downloads/Pobrane/Untitled Diagram (14).drawio",.03,"2023-05-23 23:55","drawio","05_Downloads/Pobrane"
"13059_2023_3013_MOESM11_ESM.docx","05_Downloads/Pobrane/13059_2023_3013_MOESM11_ESM.docx",.04,"2024-03-25 06:44","docx","05_Downloads/Pobrane"
"JPEG image 11-min.jpeg","05_Downloads/Pobrane/JPEG image 11-min.jpeg",2.00,"2022-09-13 08:28","jpeg","05_Downloads/Pobrane"
"IMG_0266.HEIC","05_Downloads/Pobrane/IMG_0266.HEIC",3.98,"2022-08-20 18:09","HEIC","05_Downloads/Pobrane"
"JPEG image 10-min.jpeg","05_Downloads/Pobrane/JPEG image 10-min.jpeg",1.70,"2022-09-13 08:28","jpeg","05_Downloads/Pobrane"
"Aswers_Draft Jeremiah.gdoc","05_Downloads/Pobrane/Aswers_Draft Jeremiah.gdoc",0,"2017-11-06 10:39","gdoc","05_Downloads/Pobrane"
"PKOOOOOOO.jpg","05_Downloads/Pobrane/PKOOOOOOO.jpg",.18,"2020-04-16 18:13","jpg","05_Downloads/Pobrane"
"Przeglad (1)-min.jpg","05_Downloads/Pobrane/Przeglad (1)-min.jpg",.25,"2022-09-13 08:28","jpg","05_Downloads/Pobrane"
"1. Zrodla Prawa _ Final.docx","05_Downloads/Pobrane/1. Zrodla Prawa _ Final.docx",.03,"2024-01-10 02:12","docx","05_Downloads/Pobrane"
"image_123655411.JPG","05_Downloads/Pobrane/image_123655411.JPG",.35,"2024-07-22 09:04","JPG","05_Downloads/Pobrane"
"Untitled document (8).gdoc","05_Downloads/Pobrane/Untitled document (8).gdoc",0,"2018-01-18 22:25","gdoc","05_Downloads/Pobrane"
"OECDManual - AUTOMATIC.pdf","05_Downloads/Pobrane/OECDManual - AUTOMATIC.pdf",.54,"2020-05-21 13:40","pdf","05_Downloads/Pobrane"
"IT Pytania.gdoc","05_Downloads/Pobrane/IT Pytania.gdoc",0,"2018-09-08 14:04","gdoc","05_Downloads/Pobrane"
"Andrzej Zak CV _ EN _ MF.gdoc","05_Downloads/Pobrane/Andrzej Zak CV _ EN _ MF.gdoc",0,"2019-09-26 13:59","gdoc","05_Downloads/Pobrane"
"7. Załącznik - Odpowiedź ZUS na wniosek.pdf","05_Downloads/Pobrane/7. Załącznik - Odpowiedź ZUS na wniosek.pdf",.12,"2020-06-11 09:31","pdf","05_Downloads/Pobrane"
"Untitled Diagram (15).drawio","05_Downloads/Pobrane/Untitled Diagram (15).drawio",0,"2023-05-23 23:51","drawio","05_Downloads/Pobrane"
"Pismo do MS.docx","05_Downloads/Pobrane/Pismo do MS.docx",.11,"2020-04-23 09:40","docx","05_Downloads/Pobrane"
"Panda.txt.gdoc","05_Downloads/Pobrane/Panda.txt.gdoc",0,"2019-06-11 19:08","gdoc","05_Downloads/Pobrane"
"BIO_doktorat_Wąsowicz_streszczenie_jęz. polski.pdf","05_Downloads/Pobrane/Z telefonu/BIO_doktorat_Wąsowicz_streszczenie_jęz. polski.pdf",.24,"2024-10-06 05:20","pdf","05_Downloads/Pobrane/Z telefonu"
"IMG_0266.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0266.HEIC",3.98,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_0562.JPG","05_Downloads/Pobrane/Z telefonu/IMG_0562.JPG",.15,"2024-10-06 05:22","JPG","05_Downloads/Pobrane/Z telefonu"
"IMG_0267.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0267.HEIC",3.91,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4723.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4723.MOV",329.64,"2024-08-30 06:50","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_0260.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0260.HEIC",3.73,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4722.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4722.MOV",202.45,"2024-08-30 06:36","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_4722 (1).MOV","05_Downloads/Pobrane/Z telefonu/IMG_4722 (1).MOV",202.45,"2024-08-30 06:34","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_0257.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0257.HEIC",2.99,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4889.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4889.MOV",208.61,"2024-08-30 06:19","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_4888.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4888.MOV",59.94,"2024-08-30 06:13","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_1558.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_1558.HEIC",2.86,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"ssstwitter.com_1727603258763.mp4","05_Downloads/Pobrane/Z telefonu/ssstwitter.com_1727603258763.mp4",1.31,"2024-10-06 05:20","mp4","05_Downloads/Pobrane/Z telefonu"
"IMG_0261.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0261.HEIC",3.85,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4723 (1).MOV","05_Downloads/Pobrane/Z telefonu/IMG_4723 (1).MOV",329.64,"2024-08-30 06:41","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_0258.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0258.HEIC",3.65,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4886.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4886.MOV",585.18,"2024-08-30 06:31","MOV","05_Downloads/Pobrane/Z telefonu"
"Rtg jpg.HEIC","05_Downloads/Pobrane/Z telefonu/Rtg jpg.HEIC",3.38,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4887.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4887.MOV",22.88,"2024-08-30 06:12","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_0262.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0262.HEIC",3.85,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"Managing_extreme_AI_risks_1716300974.pdf","05_Downloads/Pobrane/Z telefonu/Managing_extreme_AI_risks_1716300974.pdf",2.16,"2024-10-06 05:22","pdf","05_Downloads/Pobrane/Z telefonu"
"IMG_4885.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4885.MOV",44.21,"2024-08-30 06:12","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_4890.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4890.MOV",47.21,"2024-08-30 06:13","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_4884.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4884.MOV",112.29,"2024-08-30 06:16","MOV","05_Downloads/Pobrane/Z telefonu"
"66B38643-6267-4C91-A76D-51767E96BCB0.jpeg","05_Downloads/Pobrane/Z telefonu/66B38643-6267-4C91-A76D-51767E96BCB0.jpeg",.14,"2024-10-06 05:20","jpeg","05_Downloads/Pobrane/Z telefonu"
"IMG_4881.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4881.MOV",70.85,"2024-08-30 06:14","MOV","05_Downloads/Pobrane/Z telefonu"
"Zał_nr_1_do_Ogłoszenia_o_konkursie.pdf","05_Downloads/Pobrane/Z telefonu/Zał_nr_1_do_Ogłoszenia_o_konkursie.pdf",.17,"2024-10-06 05:20","pdf","05_Downloads/Pobrane/Z telefonu"
"IMG_0263.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0263.HEIC",3.76,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_4883.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4883.MOV",103.01,"2024-08-30 06:15","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_4882.MOV","05_Downloads/Pobrane/Z telefonu/IMG_4882.MOV",23.24,"2024-08-30 06:12","MOV","05_Downloads/Pobrane/Z telefonu"
"IMG_0259.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0259.HEIC",3.73,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"0_0.png","05_Downloads/Pobrane/Z telefonu/0_0.png",1.32,"2024-10-06 05:20","png","05_Downloads/Pobrane/Z telefonu"
"IMG_0252.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0252.HEIC",3.72,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_0268.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0268.HEIC",4.30,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"Concept map creation worksheet.zip","05_Downloads/Pobrane/Z telefonu/Concept map creation worksheet.zip",.31,"2024-10-06 05:22","zip","05_Downloads/Pobrane/Z telefonu"
"0_3.png","05_Downloads/Pobrane/Z telefonu/0_3.png",1.64,"2024-10-06 05:20","png","05_Downloads/Pobrane/Z telefonu"
"IMG_0264.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0264.HEIC",3.90,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"IMG_0265.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0265.HEIC",3.99,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"SNP_for_YF079056_20241006.csv","05_Downloads/Pobrane/Z telefonu/SNP_for_YF079056_20241006.csv",.14,"2024-10-06 05:20","csv","05_Downloads/Pobrane/Z telefonu"
"IMG_0269.HEIC","05_Downloads/Pobrane/Z telefonu/IMG_0269.HEIC",4.01,"2024-10-06 05:22","HEIC","05_Downloads/Pobrane/Z telefonu"
"ssstwitter.com_1711207074048.mp4","05_Downloads/Pobrane/Z telefonu/ssstwitter.com_1711207074048.mp4",5.85,"2024-10-06 05:22","mp4","05_Downloads/Pobrane/Z telefonu"
"Kopia pliku Project Plan Timeline Template.gsheet","05_Downloads/Pobrane/Kopia pliku Project Plan Timeline Template.gsheet",0,"2021-12-18 23:33","gsheet","05_Downloads/Pobrane"
"Guidelines on the responsible implementation of artificial intelligence (AI) systems in journalism.pdf","05_Downloads/Pobrane/Guidelines on the responsible implementation of artificial intelligence (AI) systems in journalism.pdf",.38,"2023-12-20 09:30","pdf","05_Downloads/Pobrane"
"Activity Exemplar: Project plan.gsheet","05_Downloads/Pobrane/Activity Exemplar: Project plan.gsheet",0,"2021-12-20 21:30","gsheet","05_Downloads/Pobrane"
"Activity Template: Stakeholder analysis and power grid.gslides","05_Downloads/Pobrane/Activity Template: Stakeholder analysis and power grid.gslides",0,"2022-01-24 03:36","gslides","05_Downloads/Pobrane"
"New Text Document.txt","05_Downloads/Pobrane/New Text Document.txt",0,"2020-04-12 19:56","txt","05_Downloads/Pobrane"
"Free movement of persons lecture 1.pdf","05_Downloads/Pobrane/Free movement of persons lecture 1.pdf",2.61,"2020-04-26 10:08","pdf","05_Downloads/Pobrane"
"finance.gdoc","05_Downloads/Pobrane/finance.gdoc",0,"2021-01-13 08:18","gdoc","05_Downloads/Pobrane"
"BIS Guideline.pdf","05_Downloads/Pobrane/BIS/BIS Guideline.pdf",.23,"2023-05-03 13:20","pdf","05_Downloads/Pobrane/BIS"
"Test.drawio","05_Downloads/Pobrane/Test.drawio",0,"2023-04-14 20:51","drawio","05_Downloads/Pobrane"
"Untitled Diagram (1).drawio","05_Downloads/Pobrane/Untitled Diagram (1).drawio",.02,"2024-01-18 12:15","drawio","05_Downloads/Pobrane"
"zus-dowolne-plat.pdf","05_Downloads/Pobrane/zus-dowolne-plat.pdf",.12,"2020-04-22 11:52","pdf","05_Downloads/Pobrane"
"IMG_0267.HEIC","05_Downloads/Pobrane/IMG_0267.HEIC",3.91,"2022-08-20 18:09","HEIC","05_Downloads/Pobrane"
"dowod az.pdf","05_Downloads/Pobrane/dowod az.pdf",.16,"2021-01-10 10:46","pdf","05_Downloads/Pobrane"
"received_10203824472848137.jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/received_10203824472848137.jpeg",.12,"2017-10-05 05:00","jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"0d20180312183159p+48693678544.3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon/0d20180312183159p+48693678544.3gp",5.10,"2018-04-15 13:04","3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"2017 072 SP  Andrzej Żak.doc.gdoc","05_Downloads/Pobrane/Dane _ Telefon/Telefon/2017 072 SP  Andrzej Żak.doc.gdoc",0,"2017-08-23 17:03","gdoc","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170929_132509.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170929_132509.jpg",5.25,"2017-10-05 04:54","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"InOurTime-20180301-SunTzuAndTheArtOfWar.mp3","05_Downloads/Pobrane/Dane _ Telefon/Telefon/InOurTime-20180301-SunTzuAndTheArtOfWar.mp3",0,"2018-04-15 13:03","mp3","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170929_135110.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170929_135110.jpg",5.02,"2017-10-05 04:54","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170224_124122.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170224_124122.jpg",5.35,"2017-08-13 11:55","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"1d20180223115228p+48665070623.3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon/1d20180223115228p+48665070623.3gp",.01,"2018-04-15 13:05","3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"Emailing Wniosek_w_sprawie_wydania_orzeczenia_o_stopniu_niepelnosprawnosci.PDF","05_Downloads/Pobrane/Dane _ Telefon/Telefon/Emailing Wniosek_w_sprawie_wydania_orzeczenia_o_stopniu_niepelnosprawnosci.PDF",1.83,"2017-09-05 07:52","PDF","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"2017_032_SP  Andrzej Żak.doc","05_Downloads/Pobrane/Dane _ Telefon/Telefon/2017_032_SP  Andrzej Żak.doc",.02,"2017-08-23 16:35","doc","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170930_200153.jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170930_200153.jpeg",.03,"2017-10-05 04:53","jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170923_143122-1.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170923_143122-1.jpg",2.53,"2017-10-05 05:01","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"0d20180312231434p+48731499883.3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon/0d20180312231434p+48731499883.3gp",.02,"2018-04-15 13:04","3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170914_183600.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170914_183600.jpg",4.40,"2017-10-05 05:02","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"0d20180308221146p+48693678544.3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon/0d20180308221146p+48693678544.3gp",2.24,"2018-04-15 13:04","3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"mms_img1497915729.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/mms_img1497915729.jpg",.02,"2017-10-05 05:04","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"img-12574976.png","05_Downloads/Pobrane/Dane _ Telefon/Telefon/img-12574976.png",0,"2017-08-12 19:46","png","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170720_142940.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170720_142940.jpg",5.97,"2017-08-13 11:54","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"received_10155708618043249.jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/received_10155708618043249.jpeg",.15,"2017-10-05 05:01","jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"received_10203799830952105.jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/received_10203799830952105.jpeg",.21,"2017-10-05 05:02","jpeg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"Equity 3.mp3","05_Downloads/Pobrane/Dane _ Telefon/Telefon/Equity 3.mp3",119.30,"2018-04-15 13:05","mp3","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170929_105415.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170929_105415.jpg",4.10,"2017-10-05 04:58","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170730_173045.mp4","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170730_173045.mp4",3.92,"2017-08-09 19:24","mp4","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"Ulga na złe długi.pdf","05_Downloads/Pobrane/Dane _ Telefon/Telefon/Ulga na złe długi.pdf",.11,"2017-08-08 14:43","pdf","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"0d20180409162122p+48600290786.3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon/0d20180409162122p+48600290786.3gp",.05,"2018-04-15 13:03","3gp","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"20170925_214718.jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon/20170925_214718.jpg",4.85,"2017-10-05 05:00","jpg","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
"img-12451712.png","05_Downloads/Pobrane/Dane _ Telefon/Telefon/img-12451712.png",0,"2017-08-12 19:46","png","05_Downloads/Pobrane/Dane _ Telefon/Telefon"
